2026-07-09 13:28:27, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@resto, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@rotacoes, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 13:28:27, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 13:32:15, MOVE, v:1, k:ed@rotacoes, mode:EDIT
2026-07-09 13:33:01, MOVE, v:1, k:ed@manipulacao, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@resto, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@rotacoes, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 14:29:09, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@buscas, mode:EDIT
